id1,id2,model,conflicting_passage_doc1,conflicting_passage_doc2,conflicts_found
100124,124,gpt-4.1,"D. Morgan, born on 19th October 1960, currently residing at 71 Yorkshire Street, Unionville, and employed as a retail shop owner, is accused of the crime of selling counterfeit registered trademark goods, contrary to Article No. 214.","C. Taylor, born on 19th October 1960, currently residing at 71 Yorkshire Street, Unionville, and employed as a retail shop owner, is accused of the crime of selling counterfeit registered trademark goods, contrary to Article No. 214.",True
100124,124,gpt-4.1,"The defendant’s retail establishment, situated at 25 Baker Street, Unionville, became a subject of scrutiny following complaints lodged by well-known brand owners.","The defendant’s retail establishment, situated at 25 Baker Street, Unionville, became a subject of scrutiny following complaints lodged by well-known brand owners.",True
100124,124,gpt-4.1,D. Morgan was officially taken into custody on charges of selling counterfeit registered trademark goods.,C. Taylor was officially taken into custody on charges of selling counterfeit registered trademark goods.,True
100124,124,gpt-4.1,"In view of the overwhelming evidence, the severity of the offense, and the considerations detailed above, this court finds D. Morgan guilty of the crime of Selling Counterfeit Registered Trademark Goods under Article No. 214. The defendant is hereby sentenced to four years of fixed-term imprisonment and fined $100,000 for illicit gains.","In view of the overwhelming evidence, the severity of the offense, and the considerations detailed above, this court finds C. Taylor guilty of the crime of Selling Counterfeit Registered Trademark Goods under Article No. 214. The defendant is hereby sentenced to four years of fixed-term imprisonment and fined $100,000 for illicit gains.",True
100124,300003,gpt-4.1,"This judgment is delivered and executed on this 10th day of January 2023, by the Norwood, Unionville Court, with the presence and consent of the Chief Judge T. Robinson, Judge N. Cook, and Court Clerk O. Murphy.","Judgment date according to the court judgment of Norwood, Unionville, Court | 15th February 2023",True
100129,129,gpt-4.1,"Consequently, this court sentences G. Torres to six years of fixed-term imprisonment.","Consequently, this court sentences G. Torres to four years of fixed-term imprisonment.",True
100129,300003,gpt-4.1,"Based on the evidence presented and the legal arguments made, this court finds G. Torres guilty of the Crime of Traffic Accident as per Article No. 133.","Crime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud",True
100131,131,gpt-4.1,Defendant: S. Taylor,Defendant: X. Morgan,True
100131,300003,gpt-4.1,**Count**: Crime of Evading Tax Arrears Recovery under Article 203,"Crime committed by X. Morgan according to the court judgment of Riverside, Glenwood, Court | Crime of Fraudulent Accounting Practices",True
100131,300003,gpt-4.1,**Defendant**: S. Taylor,"Crime committed by X. Morgan according to the court judgment of Riverside, Glenwood, Court | Crime of Fraudulent Accounting Practices",True
100135,135,gpt-4.1,"**Date of Judgment:**
20th May 2023","**Date of Judgment:**
15th May 2023",True
100135,300003,gpt-4.1,This court hereby sentences J. Gonzalez to five years of fixed-term imprisonment.,"Sentence for J. Gonzalez according to the court judgment of Ashton, Clarksville, Court | 3 years of probation",True
100138,138,gpt-4.1,The defendant is hereby sentenced to one year of fixed-term imprisonment.,The defendant is hereby sentenced to three years of fixed-term imprisonment.,True
100178,178,gpt-4.1,Biopsy confirmed esophageal stricture.,Biopsy confirmed esophageal malignancy.,True
100178,178,gpt-4.1,"Preliminary Diagnosis:
Benign Esophageal Stricture","Preliminary Diagnosis:
Esophageal Malignancy",True
100178,178,gpt-4.1,"Differential Diagnosis:
Malignant esophageal tumor (ruled out by biopsy), achalasia (ruled out by progression and biopsy), esophageal diverticulum (ruled out by endoscopy), esophageal tuberculosis (ruled out by biopsy).","Differential Diagnosis:
Benign esophageal stricture (ruled out by biopsy), achalasia (ruled out by progression and biopsy), esophageal diverticulum (ruled out by endoscopy), esophageal tuberculosis (ruled out by biopsy).",True
100178,178,gpt-4.1,Surgery Records: Palliative esophagectomy performed. Stricture reduced but not fully resectable.,Surgery Records: Palliative esophagectomy performed. Tumor reduced but not fully resectable.,True
100178,178,gpt-4.1,"Death Records: Time of death: 5:40 PM, 15th, August. Cause: Complications from benign esophageal stricture. Attending Physician: Dr. A. Smith","Death Records: Time of death: 5:40 PM, 15th, August. Cause: Complications from advanced esophageal malignancy. Attending Physician: Dr. A. Smith",True
100178,178,gpt-4.1,"Auxiliary Examination Reports:
CT scan, endoscopy results pre-admission, biopsy confirming stricture.","Auxiliary Examination Reports:
CT scan, endoscopy results pre-admission, biopsy confirming malignancy.",True
100178,178,gpt-4.1,"DiseaseType:
Benign Tumors:
Name: Esophageal Stricture
Symptoms: Dysphagia (difficulty swallowing or feeling of obstruction when food moves down the esophagus, initially for solid food, later for semi-solid food, and finally for liquid food and saliva, indicating a progressive benign course rather than spasm, malignant or digestive strictures); chest pain often radiating to the back.
Differential Diagnosis: Malignant esophageal tumor, achalasia, esophageal diverticulum, esophageal tuberculosis, etc.","DiseaseType:
Malignant Tumors:
Name: Esophageal Malignancy
Symptoms: Dysphagia (difficulty swallowing or feeling of obstruction when food moves down the esophagus, initially for solid food, later for semi-solid food, and finally for liquid food and saliva, indicating a progressive malignant course rather than spasm, benign or digestive strictures); chest pain often radiating to the back.
Differential Diagnosis: Benign esophageal stricture, achalasia, esophageal diverticulum, esophageal tuberculosis, etc.",True
100178,300001,gpt-4.1,"Chief Complaint:
Dysphagia and chest pain for the past 4 months",Chief complaint of Q. Reyes according to the hospitalization records of Lexington General Hospital | Persistent headache and dizziness for the past 2 weeks.,True
100182,182,gpt-4.1,"Chief Complaint: Local redness, swelling, heat, and pain on the left forearm for 3 days.","Chief Complaint: Local redness, swelling, heat, and pain on the right forearm for 3 days.",True
100182,182,gpt-4.1,"Main Symptoms: Localized redness, swelling, heat, and pain on the right forearm. The symptoms have progressively worsened over the last 3 days.","Main Symptoms: Localized redness, swelling, heat, and pain on the right forearm. The symptoms have progressively worsened over the last 3 days.",True
100182,182,gpt-4.1,"Skin: Erythema, heat, swelling, and tenderness over the right forearm, approximately 2 cm in diameter","Skin: Erythema, heat, swelling, and tenderness over the right forearm, approximately 2 cm in diameter",True
100182,300001,gpt-4.1,Historian: Mother: Maria Rodriguez,Historian for J. Rodriguez according to the hospitalization records of Granville General Hospital | Father: Juan Rodriguez.,True
100185,185,gpt-4.1,Age: 12,Age: 10,True
100185,300001,gpt-4.1,"Chief Complaint:
Ear discharge, hearing loss, and severe headache for 2 weeks",Chief complaint of I. Thomas according to the hospitalization records of Bridgewater General Hospital | Persistent cough and shortness of breath for 3 weeks.,True
100191,191,gpt-4.1,"Chief Complaint
Headache and dizziness for 2 weeks","Chief Complaint
Palpitations and excessive sweating for 2 weeks",True
100191,300001,gpt-4.1,Age: 13,Age of O. Myers according to the hospitalization records of Clarksville General Hospital | 15,True
100195,195,gpt-4.1,"Admission Time: 10th, October","Admission Time: 9th, October",True
100195,300001,gpt-4.1,"Chief Complaint:
Fever, abdominal pain, and bloody stools for 1 week",Chief complaint of A. Smith according to the hospitalization records of Farmington City Hospital | Severe headache and dizziness for 3 days,True
100197,300001,gpt-4.1,Long-term Orders: Oral Iron supplements 200 mg twice daily.,Prescribed long-term medication for O. Richardson according to the hospitalization records of Lakeside General Hospital | Vitamin D supplements 1000 IU daily,True
100201,201,gpt-4.1,Age: 42,Age: 36,True
100201,201,gpt-4.1,First Course Record: The patient is a 42-year-old male with a 2-month history of uterine bleeding and a palpable abdominal mass.,First Course Record: The patient is a 36-year-old male with a 2-month history of uterine bleeding and a palpable abdominal mass.,True
100201,300001,gpt-4.1,"Chief Complaint:
Uterine bleeding and abdominal mass for 2 months",Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,True
100201,300001,gpt-4.1,Gender: male,"Chief Complaint:
Uterine bleeding and abdominal mass for 2 months",True
100206,206,gpt-4.1,Age: 66,Age: 76,True
100206,300001,gpt-4.1,Gender: female,Gender of O. Price according to the hospitalization records of Victoria General Hospital | Male,True
100210,210,gpt-4.1,Pulse: 80/min,Pulse: 90/min,True
100210,300001,gpt-4.1,"Birthplace:
Clearwater",Birthplace of J. Alvarez according to the hospitalization records of Clearwater General Hospital | Springfield,True
100041,41,gpt-4.1,"Finally, in December 2019, Entertainment Enterprises Inc. appointed David Lee as its new Chief Executive Officer.","Finally, in December 2019, Entertainment Enterprises Inc. appointed Sarah Johnson as its new Chief Executive Officer.",True
100041,300002,gpt-4.1,"In August 2019, Entertainment Enterprises Inc. proactively updated its compliance practices to adhere to the latest regulatory changes in the entertainment industry.","Month and year when Entertainment Enterprises Inc. updated its compliance practices | March, 2020",True
100044,300002,gpt-4.1,"In June 2021, Green Fields Agriculture Ltd. made a major asset acquisition by acquiring FreshPro, a leading distributor of premium organic produce.",Company acquired by Green Fields Agriculture Ltd. in June 2021 | AgroTech Innovations,True
100049,49,gpt-4.1,"In February 2018, the company decided to distribute $20 million of dividends to its shareholders, which significantly improved shareholder returns.","In February 2018, the company decided to distribute $10 million of dividends to its shareholders, which significantly improved shareholder returns.",True
100049,300002,gpt-4.1,"In September 2018, the company appointed Mr. John Anderson as a new board member.",Person appointed as a new board member of Capital Finance Group in September 2018 | Ms. Emily Carter,True
100054,54,gpt-4.1,"Firstly, in February 2021, the company conducted a large-scale financing activity, raising $200 million in funds.","Firstly, in February 2021, the company conducted a large-scale financing activity, raising $150 million in funds.",True
100054,300002,gpt-4.1,"In August 2021, HealthPro Innovations appointed Ms. Sarah Thompson as the new Chief Financial Officer.",Person appointed as the new Chief Financial Officer of HealthPro Innovations in August 2021 | Mr. John Smith,True
100055,55,gpt-4.1,"In April 2017, the company acquired DataLink Systems, a well-established hardware manufacturer in the telecommunications industry.","In April 2017, the company acquired TechGear Inc., a well-established hardware manufacturer in the telecommunications industry.",True
100055,300002,gpt-4.1,"InnovaTech generated a cash flow of $50 million, influenced by its operating activities, investment activities, and financing activities.",Cash flow value of Innovate Tech Solutions | $950 million,True
100062,62,gpt-4.1,"In May 2021, Fabrikon completed the acquisition of 75% equity of TechnoParts Ltd., a key supplier of critical components.","In May 2021, Fabrikon completed the acquisition of 60% equity of TechnoParts Ltd., a key supplier of critical components.",True
100062,300002,gpt-4.1,"The company's cash flow amounted to $100 million, influenced by operating activities, investment activities, and financing activities.",Cash flow of Fabrikon Manufacturing Ltd. | $120 million,True
100067,67,gpt-4.1,"In December 2017, SkyQuest Airlines proactively monitored and implemented compliance and regulatory updates. The company established a dedicated compliance department to effectively manage and mitigate risks associated with regulatory changes, ensuring adherence to industry standards and regulations.","In November 2017, SkyQuest Airlines proactively monitored and implemented compliance and regulatory updates. The company established a dedicated compliance department to effectively manage and mitigate risks associated with regulatory changes, ensuring adherence to industry standards and regulations.",True
100067,300002,gpt-4.1,"As a result, the company received regulatory approval from the FAA in February for long-haul international flights, enabling route expansion, increased revenue, and a stronger market presence.",Regulatory body that approved SkyQuest Airlines for long-haul international flights in February 2017 | EASA,True
100069,69,gpt-4.1,"The dividend distribution has further strengthened the company's shareholder equity, which now stands at $5.2 billion.","The dividend distribution has further strengthened the company's shareholder equity, which now stands at $4.6 billion.",True
100069,300002,gpt-4.1,"The company's cash flow stands at $890 million, reflecting its ability to generate cash from operating activities, investment activities, and financing activities.",Cash flow value of Innovate Tech Solutions | $950 million,True
400128,128,gpt-4.1,"The proceedings were overseen by Chief Judge O. Edwards, supported by Judge W. Hernandez and Court Clerk H. White.","Chief Judge: W. Hernandez  
Judge: O. Edwards  
Court Clerk: H. White",True
400128,128,gpt-4.1,"On June 2, 2023, the Lakewood, Mayfield, Court delivered its decision on the criminal case involving X. Alvarez, a delivery driver accused of causing a serious traffic accident.","*This judgment is issued under the authority of the Lakewood, Mayfield, Court on the 1st of June, 2023.*",True
400132,132,gpt-4.1,"The court documented that Mr. Ruiz, an Indian businessman, orchestrated a calculated transfer of $50,000 to an offshore account in the Bahamas on March 15, 2021.","During this period, Mr. Ruiz executed a financial maneuver transferring $50,000 to an offshore account located in the Cayman Islands.",True
400132,132,gpt-4.1,"During the proceedings, it was revealed that between August and October 2021, Mr. Ruiz concealed business equipment worth $40,000 in a storage unit registered under a third party’s name.","Subsequently, Mr. Ruiz engaged in the deliberate concealment of valuable business equipment, estimated to be worth $30,000, in a storage unit.",True
400132,132,gpt-4.1,"Reflecting on the severity of these actions, the court sentenced Mr. Ruiz to five years of imprisonment and imposed a fine of $120,000, highlighting the magnitude of the evaded taxes and the orchestrated deceit.","Sentence: 
  - 5 years of fixed-term imprisonment.
  - A fine of $100,000, reflecting four times the amount of taxes evaded.",True
400132,132,gpt-4.1,"The case, overseen by Chief Judge A. Salazar, centered on Mr. Ruiz’s deliberate actions to conceal financial assets from March 2021 to December 2021.",Chief Judge: I. Torres,True
400133,133,gpt-4.1,"The case, presided over by Chief Judge V. Smith, was meticulously examined, revealing Bennett's involvement in extensive efforts to evade tax obligations for the fiscal year 2022.","Chief Judge: J. Martin
Judge: V. Smith
Clerk: W. Brooks",True
400133,133,gpt-4.1,"The defendant was accused of transferring assets, falsifying accounts, and underreporting income, alongside selling a high-value property located at 456 Elm Street, Vandalia, without disclosing it to tax authorities.","Moreover, in June 2022, T. Bennett executed the sale of a high-value property located at 123 Main Street, Vandalia. This transaction was illicitly kept away from the purview of tax authorities.",True
400134,134,gpt-4.1,"The court documents detailed that Anderson manipulated audit findings for ABC Manufacturing in May 2022, receiving $25,000 in exchange for hiding financial discrepancies.","In May 2022, Anderson agreed to obscure serious financial infractions within ABC Manufacturing's records, accepting a sum of $20,000 in return.",True
400134,134,gpt-4.1,"Additionally, Anderson was implicated in accepting a $55,000 bribe from DEF Services in December 2022, ensuring the company evaded proper audit scrutiny.","An additional instance of corruption was evidenced in December 2022. Anderson accepted a bribe of $35,000 from DEF Services.",True
400134,134,gpt-4.1,"The prosecution’s evidence further revealed that Anderson engaged with XYZ Construction Co. in February 2023, altering audit documents for a cryptocurrency payment of $50,000. A blockchain analysis confirmed the transaction to Anderson’s digital wallet, alongside encrypted email correspondences corroborating the illicit activities.","Finally, in February 2023, Anderson engaged in fraudulent activities by altering audit findings for the benefit of GHI Corporation. In return, he received $50,000 in cryptocurrency. A meticulous blockchain analysis confirmed the placement of these funds into Anderson's digital wallet, corroborated by encrypted correspondences between Anderson and GHI Corporation’s representatives.",True
400134,134,gpt-4.1,"The prosecution’s evidence further revealed that Anderson engaged with XYZ Construction Co. in February 2023, altering audit documents for a cryptocurrency payment of $50,000.","Throughout the duration commencing January 2022 and culminating in February 2023, Anderson systematically manipulated audit reports following the receipt of pecuniary inducements. ... Bank Statements: Detailed records disclosed multiple payments summing $150,000 from various accounts of XYZ Construction Co. to Anderson’s personal account over the identified period.",True
400136,136,gpt-4.1,"Williams, a former city engineer residing at 74, Brighton Street, Georgetown, faced charges relating to his tenure where he exploited his position to manipulate municipal contracts and city resources.","**Residence:** 72, Brighton Street, Georgetown",True
400136,136,gpt-4.1,"Williams, a former city engineer residing at 74, Brighton Street, Georgetown, faced charges relating to his tenure where he exploited his position to manipulate municipal contracts and city resources.",**Occupation:** City Official,True
400205,205,gpt-4.1,presented with severe right-sided back pain and hematuria that persisted for two days,Severe left-sided back pain and hematuria for 2 days,True
400205,205,gpt-4.1,reported a sudden onset of sharp pain in the right lower back radiating to the groin,Severe sharp pain in left lower back; radiating to the groin,True
400205,205,gpt-4.1,A CT scan of the abdomen confirmed the presence of right renal calculi.,CT scan of abdomen shows left renal calculi; urinalysis shows hematuria and pyuria,True
400205,205,gpt-4.1,"the preliminary diagnosis focused on urinary tract stones, while hematuria was noted as a significant symptom.",Preliminary Diagnosis: 1. Urinary Tract Stones (Left Renal Calculi) 2. Hematuria,True
400205,205,gpt-4.1,"Gonzalez, unmarried and living with her family in Oxford",Marital Status: married,True
400205,205,gpt-4.1,"Gonzalez, unmarried and living with her family in Oxford","Marital History: Married
Marriage Age: 30
Spouse's Health Condition: Good health
Children's Condition: Two children, both in good health",True
400139,139,gpt-4.1,"Consequently, the court sentenced Y. Nelson to two years of fixed-term imprisonment for violating Article No. 293 of the Criminal Code.","Accordingly, Y. Nelson is sentenced to three years of fixed-term imprisonment.",True
400139,139,gpt-4.1,Y. Nelson was represented by defense lawyer L. Johnson from Parker & Associates during the trial.,"Defense Lawyer: Y. Parker
Law Firm: Parker & Associates",True
400040,40,gpt-4.1,"Established on June 1, 2002, in Washington, D.C., Acme Government Solutions has been a key player in the government services sector.","Acme Government Solutions is a government industry company established on June 1, 2001 in Washington, D.C., specializing in providing comprehensive government services and solutions.",True
400040,40,gpt-4.1,"In January 2021, Acme made a bold move by distributing $6 million in dividends to its shareholders, reflecting its strong financial position and commitment to rewarding investors.","In January 2021, Acme Government Solutions made a significant decision to distribute $5 million of dividends to its shareholders.",True
400040,40,gpt-4.1,"In February 2021, Acme Government Solutions appointed a new CEO.",Another sub-event following the Shareholders' Meeting Resolution was the appointment of a new CEO in March 2021. This change in leadership had a profound impact on the company's direction and decision-making process.,True
400040,40,gpt-4.1,Asset and debt restructuring in August and September 2021 further improved Acme’s financial health.,"To optimize its capital structure, Acme Government Solutions underwent debt restructuring in August 2021, reducing its liabilities by $15 million. This move improved the company's financial condition and reduced its financial costs. In September 2021, the company underwent an asset restructuring, optimizing its business structure.",True
400040,40,gpt-4.1,"Acme's return on equity was reported as 8.67%, indicating efficient utilization of shareholder funds.","Finally, the return on equity was 6.67%, reflecting the operational efficiency of shareholder equity.",True
400042,42,gpt-4.1,"In April saw the acquisition of Tech Tools Ltd. for $90 million, boosting operational capacity and market competitiveness.","Additionally, in April 2017, Advanced Manufacturing Solutions Inc. acquired Tech Tools Ltd. for $80 million, further expanding its business scope, increasing operational capabilities, and enhancing market competitiveness.",True
400042,42,gpt-4.1,"In June 2017, the company underwent a debt restructuring process that saw liabilities decrease by $25 million.","The company successfully executed a debt restructuring process in June 2017, reducing liabilities by $30 million.",True
400042,42,gpt-4.1,"In the same month, a dividend of $0.50 per share was declared, totaling $20 million, reflecting strong financial performance.","Furthermore, in July 2017, the company declared a dividend distribution of $0.50 per share, totaling $20 million.",True
400042,42,gpt-4.1,"Total assets were valued at $750 million, with liabilities at $300 million, resulting in shareholder equity of $500 million.","The total assets of the company stood at $800 million, reflecting the impact of asset acquisition, disposal, and revaluation. The total liabilities amounted to $300 million, influenced by new debt issuance, debt repayment, and debt restructuring. The shareholder equity reached $500 million, influenced by the net profit, dividend distribution, and capital reserves.",True
400042,42,gpt-4.1,"In January 2018, Advanced Manufacturing Solutions Inc. underwent a revision of its corporate governance policies, leading to a series of sub-events that further strengthened its governance practices.","In January 2017, Advanced Manufacturing Solutions Inc. underwent a revision of its corporate governance policies, leading to a series of sub-events that further strengthened its governance practices.",True
400042,42,gpt-4.1,"Furthermore, in May 2017, Advanced Manufacturing Solutions Inc. adopted a Whistleblower Protection Policy, demonstrating its commitment to promoting ethical behavior and accountability.","Furthermore, in June 2017, Advanced Manufacturing Solutions Inc. adopted a Whistleblower Protection Policy, demonstrating its commitment to promoting ethical behavior and accountability.",True
400052,52,gpt-4.1,"EduCorp, founded on October 1, 2005, is an innovative education company headquartered in the City of Education, Country A.","EduCorp, established on March 1, 2005, is an education company that offers educational services through online platforms and physical learning centers, headquartered in the City of Education, Country A.",True
400052,52,gpt-4.1,"In March 2020, EduCorp made a substantial investment of $10 million in Project SmartLearn, an advanced online learning initiative, further expanding its educational offerings.","In February 2020, EduCorp made a major investment of $10 million in Project SmartLearn, an innovative online learning platform that offers personalized education solutions.",True
400052,52,gpt-4.1,"During the same period, the company restructured its debt, successfully lowering its liabilities by $10 million through effective renegotiations.","To optimize its capital structure, EduCorp underwent debt restructuring in March 2020, reducing its liabilities by $5 million through debt renegotiations and repayment strategies.",True
400052,52,gpt-4.1,"April 2020 marked a pivotal expansion with a 50% equity acquisition in Alpha Schools, a leading K-12 institution, strengthening EduCorp's market position.","In April 2020, EduCorp completed the acquisition of 40% equity of Alpha Schools, a renowned K-12 institution in the region.",True
400052,52,gpt-4.1,"with shareholder equity standing at $300 million, supported by a $60 million capital raise in May 2020 from private investors, fueling future growth and development plans.","In May 2020, EduCorp conducted a large-scale financing activity, raising $50 million from a consortium of private investors and institutional lenders.",True
400052,52,gpt-4.1,"In finance, EduCorp's debt ratio was maintained at a secure 35%, indicating a prudent balance between assets and liabilities.","The debt ratio of EduCorp is 40%, indicating the ratio of total liabilities to total assets.",True
400052,52,gpt-4.1,"As of December, EduCorp's return on equity stood at a robust 9%, reflecting efficient management of shareholder funds.","The return on equity for EduCorp is 8%, which reflects the operational efficiency of shareholder equity.",True
400052,52,gpt-4.1,"Leadership changes followed, with Lisa Franklin assuming the role of CEO in May 2020, poised to drive innovation and expand EduCorp's online presence.","In May 2020, EduCorp appointed Lisa Collins as its new CEO. Collins' transformative leadership approach aims to emphasize innovation and expand EduCorp's online platform.",True
400052,52,gpt-4.1,"October 2020 saw the addition of Zac Brown to the board, bringing invaluable insights from the education sector.","In October 2020, Steven Johnson was appointed as a new board member, bringing extensive experience in the education industry.",True
400053,53,gpt-4.1,"Initially established on May 1, 2000, the company operates across several media channels, including television networks, film studios, and digital platforms, constantly innovating to maintain its competitive edge.","Vanguard Media Group, established on March 1, 2000 in Los Angeles, California, is a publicly traded media company that operates television networks, film studios, and digital media platforms, producing and distributing various forms of entertainment content.",True
400053,53,gpt-4.1,"April marked the acquisition of MediaFirst Productions, expanding Vanguard's digital capabilities and content portfolio.","One of the significant sub-events during this period was the acquisition of MediaTech Productions in April 2019. This acquisition enhanced Vanguard Media Group's digital media capabilities and content portfolio, allowing the company to reach a wider audience and compete more effectively in the digital media landscape.",True
400053,53,gpt-4.1,"In June, Vanguard strategically partnered with Video Mania Inc., a move that expanded its digital distribution reach and boosted its advertising revenue.","Another sub-event was the partnership with Digital Channel Inc. in June, which allowed Vanguard to tap into their user base, expand digital content distribution, and enhance online advertising capabilities.",True
400053,53,gpt-4.1,"Following this, Vanguard launched its streaming service in September 2019, offering a wide array of movies, TV shows, and exclusive content to enhance customer engagement and create new revenue streams.","In August, Vanguard launched its own streaming service, offering movies, TV shows, and exclusive content to compete with established players in the industry.",True
400053,53,gpt-4.1,"The financial success of the year was further reflected in July with the distribution of a $0.80 per share dividend, showcasing Vanguard's commitment to rewarding its shareholders.","In July, the company distributed $0.75 per share of dividends to shareholders, reflecting its commitment to profit sharing with investors and enhancing shareholder returns.",True
400183,183,gpt-4.1,"Upton General Hospital has been managing the case of K. Moore, an 75-year-old Caucasian female, who was admitted on the 10th of February.","Name: K. Moore
Gender: Male
Age: 85
Ethnicity: Caucasian",True
400183,183,gpt-4.1,"Moore, a retired teacher and widower residing at 27 Milton Street, Upton, presented with a challenging dermatological condition primarily involving severe skin blistering.","Address: 27, Milton Street, Upton",True
400183,183,gpt-4.1,"Upton General Hospital has been managing the case of K. Moore, an 75-year-old Caucasian female, who was admitted on the 10th of February.","Name: K. Moore
Gender: Male
Age: 85
Ethnicity: Caucasian",True
400183,183,gpt-4.1,"Upon admission, Moore described the sudden onset of red, itchy rashes located on his wrists, forearms, and neck.","Red, itchy skin rashes on wrists, forearms, and neck; papules and occasional blisters; symptoms worsen with scratching and slightly improve with topical creams",True
400183,183,gpt-4.1,"Moore, a retired teacher and widower residing at 27 Milton Street, Upton, presented with a challenging dermatological condition primarily involving severe skin blistering.","Red, itchy skin rashes on wrists, forearms, and neck; papules and occasional blisters; symptoms worsen with scratching and slightly improve with topical creams",True
400183,183,gpt-4.1,"Moore's general health is stable, with his hypertension managed by medication, and no significant changes in his systemic condition observed since admission. His family has a history of hypertension, though no severe infectious or chronic diseases have been documented.","Hypertension for 15 years, no history of diabetes or significant chronic illnesses

Infectious Disease History:
No history of significant infectious diseases",True
400183,183,gpt-4.1,"K. Moore, an 75-year-old Caucasian female","Gender: Male
Age: 85",True
400188,188,gpt-4.1,"Bailey’s preliminary diagnosis was adjusted to major depressive disorder with psychotic features, based on his symptom profile and mental status examination.",Preliminary Diagnosis: Schizophrenia,True
400188,188,gpt-4.1,"The hospital initiated treatment with a regimen of antipsychotic medication and cognitive behavioral therapy (CBT). Dr. J. Smith, overseeing the case, has noted mild improvement in Bailey’s symptoms following the initial treatment phase. Bailey's management plan focuses on continuing with the prescribed medication Risperidone, now increased to 3mg daily, alongside regular CBT sessions.","Daily Course Records: Day 1: Patient started on 2mg Risperidone. Reports some drowsiness but no other adverse effects.
...
Long-term Orders: Risperidone 2mg daily, Cognitive Behavioral Therapy twice weekly.",True
400192,192,gpt-4.1,"L. Rogers, a 60-year-old Caucasian woman, was admitted to Knoxville General Hospital on January 6th.",Age: 56,True
400192,192,gpt-4.1,"The patient, who works as a nurse in a local clinic and is married with two healthy children, has a generally healthy medical history.",Occupation: Teacher,True
