domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id
Law,S. Taylor.,[100131],[],['**Defendant**: S. Taylor'],"According to the court judgment of Riverside, Glenwood, Court, who was the defendant?",104590,Factual Question,4590
Law,20th May 2023.,[100135],[],"['**Date of Judgment:**', '20th May 2023']","According to the court judgment of Ashton, Clarksville, Court, what was the judgment date?",104600,Factual Question,4600
Law,One year of fixed-term imprisonment,[100138],[],['The defendant is hereby sentenced to one year of fixed-term imprisonment.'],"According to the court judgment of Summerville, Windsor, Court, what was the sentence for F. James?",104633,Factual Question,4633
Medical,Benign Esophageal Stricture.,[100178],[],"['Biopsy confirmed esophageal stricture.', 'Biopsy confirmed stricture.', 'Esophageal Stricture']","According to the hospitalization records of Lexington General Hospital, what is Q. Reyes's initial diagnosis?",105965,Factual Question,5965
Medical,"Local redness, swelling, heat, and pain on the left forearm for 3 days.",[100182],[],"['Chief Complaint: Local redness, swelling, heat, and pain on the left forearm for 3 days.']","According to the hospitalization records of Granville General Hospital, what is the patient's chief complaint?",106003,Factual Question,6003
Medical,12.,[100185],[],['Age: 12'],"According to the hospitalization records of Bridgewater General Hospital, what is the patient's age?",106012,Factual Question,6012
Medical,Headache and dizziness for 2 weeks.,[100191],[],"['Chief Complaint', 'Headache and dizziness for 2 weeks']","According to the hospitalization records of Clarksville General Hospital, what is O. Myers' chief complaint?",106076,Factual Question,6076
Medical,"10th, October",[100195],[],"['Admission Time: 10th, October']","According to the hospitalization records of Farmington City Hospital, when was the patient admitted?",106102,Factual Question,6102
Medical,Shortness of breath and chest pain for 2 months.,[100197],[],"['Chief Complaint:', 'Shortness of breath and chest pain for 2 months']","According to the hospitalization records of Lakeside General Hospital, what is O. Richardson's chief complaint?",106131,Factual Question,6131
Medical,42.,[100201],[],['Age: 42'],"According to the hospitalization records of Princeton General Hospital, what is the patient's age?",106166,Factual Question,6166
Medical,66.,[100206],[],['Age: 66'],"According to the hospitalization records of Victoria General Hospital, what is O. Price's age?",106206,Factual Question,6206
Medical,80/min,[100210],[],['Pulse: 80/min'],"According to the hospitalization records of Clearwater General Hospital, what is J. Alvarez's pulse rate?",106251,Factual Question,6251
Finance,David Lee,[100041],[],"['Finally, in December 2019, Entertainment Enterprises Inc. appointed David Lee as its new Chief Executive Officer.']",Who was appointed as the new Chief Executive Officer in December 2019?,102574,Factual Question,2574
Finance,September 2021,[100044],[],"['In September 2021, the company faced significant ethical or integrity incidents, which had the potential to damage its reputation and brand value.']",When did significant ethical or integrity violations occur?,102135,Factual Question,2135
Finance,$20 million,[100049],[],"['In February 2018, the company decided to distribute $20 million of dividends to its shareholders, which significantly improved shareholder returns.']",How much dividend did Capital Finance Group distribute in February 2018?,102962,Factual Question,2962
Finance,$200 million,[100054],[],"['Firstly, in February 2021, the company conducted a large-scale financing activity, raising $200 million in funds.']",How much funding did HealthPro Innovations raise in February 2021?,102423,Factual Question,2423
Finance,DataLink Systems,[100055],[],"['In April 2017, the company acquired DataLink Systems, a well-established hardware manufacturer in the telecommunications industry.']",Which company did InnovaTech Solutions acquire in April 2017?,102636,Factual Question,2636
Finance,75%,[100062],[],"['In May 2021, Fabrikon completed the acquisition of 75% equity of TechnoParts Ltd., a key supplier of critical components.']",What percentage of equity did Fabrikon Manufacturing Ltd. acquire in TechnoParts Ltd. in May 2021?,102776,Factual Question,2776
Finance,"December, 2017.",[100067],[],"['In December 2017, SkyQuest Airlines proactively monitored and implemented compliance and regulatory updates.']",When were compliance and regulatory updates proactively monitored and implemented?,102867,Factual Question,2867
Finance,$5.2 billion,[100069],[],"[""The dividend distribution has further strengthened the company's shareholder equity, which now stands at $5.2 billion.""]",What was the shareholder equity value of Innovate Tech Solutions?,102498,Factual Question,2498
