domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id,context
Finance,$6 million.,[400040],['1. Acme Government Solutions distributed a dividend of $5 million in January 2021.'],"['In January 2021, Acme made a bold move by distributing $6 million in dividends to its shareholders.']",How much dividend did Acme Government Solutions distribute in January 2021?,402313,Factual Question,2313,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1, ""doc_id"": 40, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3559]}, ""page_content"": ""In January 2021, Acme Government Solutions made a significant decision to distribute $5 million of dividends to its shareholders. This move not only enhanced shareholder returns but also showcased the company\'s commitment to rewarding its investors. This dividend distribution was a result of the company\'s successful acquisition of a major government contract worth $100 million in March 2021. This acquisition expanded Acme Government Solutions\' service portfolio and increased its revenue potential."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3559, ""doc_id"": 400040, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Acme Government Solutions: Navigating New Waters in 2021**\\n\\nEstablished on June 1, 2002, in Washington, D.C., Acme Government Solutions has been a key player in the government services sector. The company has consistently focused on expanding its market presence and enhancing shareholder value. In January 2021, Acme made a bold move by distributing $6 million in dividends to its shareholders, reflecting its strong financial position and commitment to rewarding investors."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3560, ""doc_id"": 400040, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""A significant acquisition in March 2021, involving a $100 million government contract, enabled Acme to boost its service offerings and revenue potential. Subsequently, in April 2021, the company announced the establishment of regional offices in three new states, aiming to expand its geographical reach and increase its market share.\\n\\nIn February 2021, Acme Government Solutions appointed a new CEO. In January 2021, Acme made a bold move by distributing $6 million in dividends to its shareholders."", ""type"": ""Document""}}']"
Finance,Three.,[400059],['1. Retail Emporium opened five new stores in March 2020.'],"['The year also saw the company opening three new stores in key locations nationwide, significantly boosting its retail presence and customer outreach.']",How many new stores did Retail Emporium open in March 2020?,402699,Factual Question,2699,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 623, ""doc_id"": 59, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Emporium opened five new stores in key locations across the country, expanding its retail footprint and potentially increasing sales and customer base. Additionally, the company invested in a major upgrade to its online sales platform, improving user experience and website performance, leading to increased online sales and customer engagement. Moreover, Retail Emporium entered into a strategic partnership with a prominent fashion brand, enabling exclusive collaborations and shared marketing efforts. This"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3704, ""doc_id"": 400059, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In 2020, Retail Emporium initiated several pivotal strategies that greatly affected its financial performance and market standing. Among these was the distribution of $4 million in dividends to its shareholders in January, a move aimed at enhancing shareholder returns. The year also saw the company opening three new stores in key locations nationwide, significantly boosting its retail presence and customer outreach. Additionally, a substantial upgrade to its online platform was implemented, which improved"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 628, ""doc_id"": 59, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""September 2020, Retail Emporium conducted a large-scale financing activity, raising $200 million in funds. This strengthened the company\'s financial strength and supported its expansion and development. Lastly, in October 2020, the company invested $30 million in a new flagship store project, further broadening its business areas and enhancing profitability."", ""type"": ""Document""}}']"
Medical,September 25th.,[400188],['1. The patient was admitted on September 24th.'],"['Tremont General Hospital admitted a 27-year-old male patient, L. Bailey, on September 25th, presenting with significant psychiatric symptoms.']","According to the hospitalization records of Tremont General Hospital, when was the patient admitted?",406050,Factual Question,6050,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2300, ""doc_id"": 188, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: L. Bailey\\nGender: Male\\nAge: 27\\nEthnicity: Caucasian\\nMarital Status: Single\\nOccupation: Software Developer\\nAddress: 86, Northwood Street, Tremont\\nAdmission Time: 24th, September\\nRecord Time: 24th, September\\nHistorian: Patient and mother\\nHospital Name: Tremont General Hospital\\n\\nChief Complaint:\\nExperiencing auditory hallucinations and delusional thoughts for the past 1 month."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3592, ""doc_id"": 400188, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**News Report: Tremont General Hospital Admits Patient with Severe Symptoms**\\n\\nTremont General Hospital admitted a 27-year-old male patient, L. Bailey, on September 25th, presenting with significant psychiatric symptoms. The patient, a software developer residing in Tremont, was reported to have been experiencing persistent insomnia and episodes of severe anxiety for the past month. His father assisted in providing the medical history during admission."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2474, ""doc_id"": 198, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3617]}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: K. Mendoza\\nGender: Male\\nAge: 35\\nEthnicity: Latino\\nMarital Status: Single\\nOccupation: Software Engineer\\nAddress: 72 Trenton Street, Southport\\nAdmission Time: 20th June\\nRecord Time: 20th June\\nHistorian: Self\\nHospital Name: Southport General Hospital\\n\\nChief Complaint:\\nTremors in hands and slow movement for 6 months"", ""type"": ""Document""}}']"
Finance,$5.2 billion,[100069],[],"[""The dividend distribution has further strengthened the company's shareholder equity, which now stands at $5.2 billion.""]",What was the shareholder equity value of Innovate Tech Solutions?,102498,Factual Question,2498,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1258, ""doc_id"": 78, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In terms of assets, InnovateTech\'s total assets amounted to $450 million, influenced by asset acquisitions, disposals, and revaluations. The company\'s total liabilities were $180 million, reflecting its debt obligations, new debt issuances, debt repayments, and debt restructuring efforts.\\nShareholder equity, representing the total equity belonging to shareholders, reached $270 million. This value was influenced by the company\'s net profit, dividend distribution, and capital reserves."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3501, ""doc_id"": 100069, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Finally, in December 2017, Innovate Tech Solutions distributed dividends to its shareholders, reflecting its strong financial performance and commitment to shareholder value. The dividend distribution has further strengthened the company\'s shareholder equity, which now stands at $5.2 billion."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 952, ""doc_id"": 69, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3501]}, ""page_content"": ""Finally, in December 2017, Innovate Tech Solutions distributed dividends to its shareholders, reflecting its strong financial performance and commitment to shareholder value. The dividend distribution has further strengthened the company\'s shareholder equity, which now stands at $4.6 billion."", ""type"": ""Document""}}']"
Finance,$950 million,[300002],[],['Cash flow value of Innovate Tech Solutions | $950 million'],What was the cash flow value of Innovate Tech Solutions?,302499,Factual Question,2499,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3503, ""doc_id"": 100069, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3712, 3713]}, ""page_content"": ""In terms of profitability, Innovate Tech Solutions has achieved a net profit of $420 million, driven by strong operating income, effective cost control measures, and non-recurring gains and losses. The company\'s cash flow stands at $890 million, reflecting its ability to generate cash from operating activities, investment activities, and financing activities."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 954, ""doc_id"": 69, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3712, 3713]}, ""page_content"": ""In terms of profitability, Innovate Tech Solutions has achieved a net profit of $420 million, driven by strong operating income, effective cost control measures, and non-recurring gains and losses. The company\'s cash flow stands at $890 million, reflecting its ability to generate cash from operating activities, investment activities, and financing activities."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1259, ""doc_id"": 78, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In terms of cash flow, InnovateTech recorded a total cash flow of $65 million, reflecting the inflows and outflows from its operating activities, investment activities, and financing activities.\\nThe company\'s debt ratio, which measures its debt level, stood at 40%. This ratio was influenced by changes in total liabilities and total assets. Additionally, InnovateTech\'s debt to assets ratio, which measures its financial leverage, was 30%, indicating a healthy balance between debt and assets."", ""type"": ""Document""}}']"
Medical,Headache and dizziness for 2 weeks.,[100191],[],"['Chief Complaint', 'Headache and dizziness for 2 weeks']","According to the hospitalization records of Clarksville General Hospital, what is O. Myers' chief complaint?",106076,Factual Question,6076,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3175, ""doc_id"": 100191, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3718]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information\\nName: O. Myers\\nGender: female\\nAge: 13\\nEthnicity: Caucasian\\nMarital Status: Single\\nOccupation: Student\\nAddress: 39 Woodland Street, Clarksville\\nAdmission Time: 20th April\\nRecord Time: 20th April\\nHistorian: Patient and mother\\nHospital Name: Clarksville General Hospital\\n\\nChief Complaint\\nHeadache and dizziness for 2 weeks"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3718, ""doc_id"": 300001, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Age of O. Myers according to the hospitalization records of Clarksville General Hospital | 15\\nChief complaint of A. Smith according to the hospitalization records of Farmington City Hospital | Severe headache and dizziness for 3 days\\nPrescribed long-term medication for O. Richardson according to the hospitalization records of Lakeside General Hospital | Vitamin D supplements 1000 IU daily"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2357, ""doc_id"": 191, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information\\nName: O. Myers\\nGender: female\\nAge: 13\\nEthnicity: Caucasian\\nMarital Status: Single\\nOccupation: Student\\nAddress: 39 Woodland Street, Clarksville\\nAdmission Time: 20th April\\nRecord Time: 20th April\\nHistorian: Patient and mother\\nHospital Name: Clarksville General Hospital\\n\\nChief Complaint\\nPalpitations and excessive sweating for 2 weeks"", ""type"": ""Document""}}']"
Finance,April 2021.,[400040],['1. Acme Government Solutions announced plans to establish regional offices in three new states in April 2021.'],"['In April 2021, the company announced the establishment of regional offices in three new states.']",In which month did Acme Government Solutions announce plans to establish regional offices in three new states?,402314,Factual Question,2314,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2, ""doc_id"": 40, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""in March 2021. This acquisition expanded Acme Government Solutions\' service portfolio and increased its revenue potential. Furthermore, in April 2021, the company announced plans to establish regional offices in three new states, thereby expanding its presence and market reach. This strategic move allowed Acme Government Solutions to tap into new geographic markets, increasing its market share and potential customer base."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3560, ""doc_id"": 400040, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""A significant acquisition in March 2021, involving a $100 million government contract, enabled Acme to boost its service offerings and revenue potential. Subsequently, in April 2021, the company announced the establishment of regional offices in three new states, aiming to expand its geographical reach and increase its market share.\\n\\nIn February 2021, Acme Government Solutions appointed a new CEO. In January 2021, Acme made a bold move by distributing $6 million in dividends to its shareholders."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 22, ""doc_id"": 40, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In June 2021, Acme Government Solutions unveiled a New Market Expansion Plan, which aimed to diversify revenue streams and expand the client base. This initiative demonstrated the company\'s commitment to adapt to changing market dynamics and seize new business opportunities."", ""type"": ""Document""}}']"
Medical,eczema.,[400183],"[""1. K. Moore's initial diagnosis is dermatitis.""]","['The clinical team at Upton General Hospital, led by Dr. A. Smith, initially diagnosed Moore with eczema, a common skin condition characterized by inflammation and itchiness.']","According to the hospitalization records of Upton General Hospital, what is K. Moore's initial diagnosis?",405993,Factual Question,5993,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2214, ""doc_id"": 183, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3586]}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: K. Moore\\nGender: Male\\nAge: 85\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 27, Milton Street, Upton\\nAdmission Time: 10th February\\nRecord Time: 10th February\\nHistorian: Self\\nHospital Name: Upton General Hospital\\n\\nChief Complaint:\\nItchy skin rashes for 2 weeks\\n\\nPresent Illness:\\nOnset:\\nStarted suddenly 2 weeks ago at home, no obvious prodrome, possible trigger unknown"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3586, ""doc_id"": 400183, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**News Report: Upton General Hospital Handles Complex Case of Dermatitis in Elderly Patient**\\n\\nUpton General Hospital has been managing the case of K. Moore, an 75-year-old Caucasian female, who was admitted on the 10th of February. Moore, a retired teacher and widower residing at 27 Milton Street, Upton, presented with a challenging dermatological condition primarily involving severe skin blistering."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2652, ""doc_id"": 209, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: S. Moore\\nGender: Female\\nAge: 74\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 60, Newport Street, Knoxville\\nAdmission Time: 11th January\\nRecord Time: 11th January 14:00\\nHistorian: Self\\nHospital Name: Knoxville City Hospital\\n\\nChief Complaint:\\nIntermittent wheezing, coughing, and shortness of breath for 2 weeks"", ""type"": ""Document""}}']"
Finance,$10 million.,[400052],['1. EduCorp reduced its liabilities by $5 million during the debt restructuring in March 2020.'],"['During the same period, the company restructured its debt, successfully lowering its liabilities by $10 million through effective renegotiations.']",How much did EduCorp reduce its liabilities by during the debt restructuring in March 2020?,402525,Factual Question,2525,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 404, ""doc_id"": 52, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3574]}, ""page_content"": ""To optimize its capital structure, EduCorp underwent debt restructuring in March 2020, reducing its liabilities by $5 million through debt renegotiations and repayment strategies. This debt restructuring improved EduCorp\'s financial condition, reduced its financial costs, and increased its liquidity."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 411, ""doc_id"": 52, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""The total liabilities of EduCorp were recorded at $200 million, representing the total amount of debts the company is obligated to repay at the end of the accounting period. The total liabilities are influenced by new debt issuance, debt repayment, and debt restructuring."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3574, ""doc_id"": 400052, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2020, EduCorp made a substantial investment of $10 million in Project SmartLearn, an advanced online learning initiative, further expanding its educational offerings. During the same period, the company restructured its debt, successfully lowering its liabilities by $10 million through effective renegotiations. EduCorp\'s financial health improved markedly, with shareholder equity standing at $300 million, supported by a $60 million capital raise in May 2020 from private investors, fueling future"", ""type"": ""Document""}}']"
Finance,20%,[400075],['1. The return on equity of Culture Innovators Ltd. was 17%.'],['The return on equity of Culture Innovators Ltd. was 20%.'],What was the return on equity of Culture Innovators Ltd.?,403145,Factual Question,3145,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3653, ""doc_id"": 400075, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""By December 2021, Culture Innovators Ltd. acquired 60% equity of Experience Makers, further expanding its market share. The return on equity of Culture Innovators Ltd. was 20%. These strategic decisions have led to substantial financial outcomes, with operating income at $75 million, net profit at $12 million, and total assets at $150 million."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1154, ""doc_id"": 75, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""income. Culture Innovators Ltd.\'s total assets stood at $150 million, driven by the acquisition of ArtEx and other asset-related activities. The company\'s total liabilities were reduced to $80 million following the successful debt restructuring, improving its financial condition. Shareholder equity reached $70 million, influenced by the net profit, dividend distribution, and capital reserves. The company\'s cash flow amounted to $18 million, resulting from its operating activities, investment activities, and"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1152, ""doc_id"": 75, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In October 2021, Culture Innovators Ltd. distributed $5 million in dividends to its shareholders. This dividend distribution not only enhanced shareholder returns but also strengthened the company\'s partnership with its investors.\\nIn December 2021, Culture Innovators Ltd. acquired 60% equity of Experience Makers, a significant move that expanded its market share and established the company as a prominent player in the sector."", ""type"": ""Document""}}']"
Law,"30th, January, 2023",[300003],[],"['Date when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023']","According to the court judgment of Sterling, Quarryville, Court, what was the date when Z. Torres was formally arrested?",304482,Factual Question,4482,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3715, ""doc_id"": 300003, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Defendant according to the court judgment of Trenton, Vandalia, Court | J. Smith\\nDate when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023\\nJudgment date according to the court judgment of Norwood, Unionville, Court | 15th February 2023\\nCrime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2886, ""doc_id"": 100123, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Sterling Quarryville Court**\\n\\n**Sterling Quarryville Procuratorate**\\n\\n**Chief Judge: H. Nguyen**\\n\\n**Judge: U. Sanders**\\n\\n**Clerk: Z. Taylor**\\n\\n**DEFENDANT AND DEFENSE LAWYER INFORMATION**\\n\\nDefendant: Z. Torres\\n\\n- Gender: Male\\n- Birthdate: 8th March 1983\\n- Residence: 22, Maple Avenue, Quarryville\\n- Ethnicity: Hispanic\\n- Occupation: Owner of retail electronics store\\n\\nDefense Lawyer: N. Harris\\n\\n- Law Firm: Quarryville Law Associates\\n\\n**CASE PROCEDURES**\\n\\n**Case Filing and Investigation**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1661, ""doc_id"": 123, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [2886]}, ""page_content"": ""**Sterling Quarryville Court**\\n\\n**Sterling Quarryville Procuratorate**\\n\\n**Chief Judge: H. Nguyen**\\n\\n**Judge: U. Sanders**\\n\\n**Clerk: Z. Taylor**\\n\\n**DEFENDANT AND DEFENSE LAWYER INFORMATION**\\n\\nDefendant: Z. Torres\\n\\n- Gender: Male\\n- Birthdate: 8th March 1983\\n- Residence: 18, Elmwood Street, Quarryville\\n- Ethnicity: Hispanic\\n- Occupation: Owner of retail electronics store\\n\\nDefense Lawyer: N. Harris\\n\\n- Law Firm: Quarryville Law Associates\\n\\n**CASE PROCEDURES**\\n\\n**Case Filing and Investigation**"", ""type"": ""Document""}}']"
Finance,75%,[100062],[],"['In May 2021, Fabrikon completed the acquisition of 75% equity of TechnoParts Ltd., a key supplier of critical components.']",What percentage of equity did Fabrikon Manufacturing Ltd. acquire in TechnoParts Ltd. in May 2021?,102776,Factual Question,2776,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 729, ""doc_id"": 62, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3439]}, ""page_content"": ""In May 2021, Fabrikon completed the acquisition of 60% equity of TechnoParts Ltd., a key supplier of critical components. This acquisition further expanded the company\'s market share and enhanced its control over the supply chain. The acquisition of TechnoParts Ltd. contributed to the company\'s total liabilities reaching $400 million."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3439, ""doc_id"": 100062, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In May 2021, Fabrikon completed the acquisition of 75% equity of TechnoParts Ltd., a key supplier of critical components. This acquisition further expanded the company\'s market share and enhanced its control over the supply chain. The acquisition of TechnoParts Ltd. contributed to the company\'s total liabilities reaching $400 million."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3434, ""doc_id"": 100062, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In April 2021, Fabrikon Manufacturing Ltd. entered into a strategic partnership agreement with a major technology company specializing in automation solutions. This partnership aimed to combine Fabrikon\'s expertise in manufacturing machinery with the technological advancements of the partner, enabling the development and production of innovative and high-performance automated machinery. This collaboration provided Fabrikon with access to cutting-edge technology, enhancing its competitiveness in the market"", ""type"": ""Document""}}']"
Medical,Hypothyroidism.,[400207],"[""1. E. Chavez's initial diagnosis is hyperthyroidism.""]","['A consultation with a general practitioner a month prior to hospitalization resulted in a diagnosis of hypothyroidism, confirmed by elevated T3 and T4 levels, and suppressed TSH levels.']","According to the hospitalization records of Kingsport Medical Center, what is E. Chavez's initial diagnosis?",406213,Factual Question,6213,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2620, ""doc_id"": 207, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3673]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: E. Chavez\\nGender: Female\\nAge: 30\\nEthnicity: Hispanic\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 71, Ashland Street, Kingsport\\nAdmission Time: 1st October\\nRecord Time: 2nd October\\nHistorian: Self and spouse\\nHospital Name: Kingsport Medical Center\\n\\nChief Complaint:\\nPalpitations, irritability, and weight loss for the past two months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2554, ""doc_id"": 203, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: I. Chavez\\nGender: Female\\nAge: 82\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 71, Knoxville street, Yorkshire\\nAdmission Time: 12th, February\\nRecord Time: 12th, February\\nHistorian: Patient herself\\nHospital Name: Yorkshire General Hospital\\n\\nChief Complaint:\\nIntermittent upper abdominal pain, acid reflux, and heartburn for 2 months."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2572, ""doc_id"": 204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3642]}, ""page_content"": ""**Hospitalization Record**\\n\\n**Basic Information:**\\nName: C. Cruz\\nGender: female\\nAge: 65\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 7, Ashland street, Indianola\\nAdmission Time: 17th, February\\nRecord Time: 17th, February, 14:30\\nHistorian: C. Cruz\\nHospital Name: Indianola General Hospital\\n\\n**Chief Complaint:**\\nFever, chills, back pain for 2 days"", ""type"": ""Document""}}']"
